ts,USD,EUR,GBP,JPY,CHF,CAD,AUD,NZD
2026.07.06 15:00,0.47553626,0.16849265,0.39879596,-0.76864813,-0.19047410,0.09331054,0.33438096,-0.51139414
2026.07.06 16:00,0.46065902,0.09833966,0.44116064,-0.75056170,-0.24361692,0.12387205,0.36803923,-0.49789196
2026.07.06 17:00,0.42411431,0.09909310,0.50493592,-0.78038401,-0.33642139,0.08305717,0.43473303,-0.42912813
2026.07.06 18:00,0.35069569,0.10278741,0.55440396,-0.77921385,-0.40385454,0.06083468,0.47379105,-0.35944439
2026.07.06 19:00,0.28090007,0.10730179,0.59717433,-0.78083516,-0.44269996,-0.00539349,0.50022405,-0.25667164
2026.07.06 20:00,0.18406751,0.09301437,0.62307554,-0.73584675,-0.44870607,-0.07709606,0.51997557,-0.15848410
2026.07.06 21:00,0.04917589,0.03709764,0.64831948,-0.66928507,-0.43873687,-0.13701799,0.54051413,-0.03006720
2026.07.06 22:00,-0.03221260,-0.01543942,0.64977176,-0.58928588,-0.46969959,-0.13800391,0.54551283,0.04935682
2026.07.06 23:00,-0.09847631,-0.03092183,0.65196192,-0.51564679,-0.42769881,-0.14184702,0.47225435,0.09037449
2026.07.07 00:00,-0.17641692,-0.01386137,0.65008603,-0.45215569,-0.39436522,-0.18881323,0.50014437,0.07538203
2026.07.07 01:00,-0.26641071,-0.01544339,0.67829030,-0.41096443,-0.43496866,-0.24685517,0.49650764,0.19984442
2026.07.07 02:00,-0.28420714,-0.02191995,0.67759540,-0.35909764,-0.42593302,-0.24737936,0.46807363,0.19286807
2026.07.07 03:00,-0.28655110,0.01626928,0.65695686,-0.27920947,-0.44646645,-0.25214104,0.37121730,0.21992462
2026.07.07 04:00,-0.36790451,0.01177782,0.63107036,-0.11572802,-0.42810679,-0.31219218,0.34480882,0.23627451
2026.07.07 05:00,-0.36224044,0.03659358,0.59708140,-0.02644525,-0.41402724,-0.30073649,0.26207789,0.20769654
2026.07.07 06:00,-0.35795742,0.01633211,0.56790841,0.07753812,-0.38840090,-0.28769514,0.16305579,0.20921903
2026.07.07 07:00,-0.32918145,0.03559855,0.53210840,0.19119652,-0.38251714,-0.25180065,0.05104586,0.15354992
2026.07.07 08:00,-0.31618676,0.03084834,0.49917160,0.24324115,-0.37032566,-0.23767703,0.03126088,0.11966747
2026.07.07 09:00,-0.28163242,0.01599026,0.40557518,0.20941886,-0.30560213,-0.18442912,0.03819702,0.10248235
2026.07.07 10:00,-0.17994741,0.01323973,0.36578329,0.32802995,-0.33130392,-0.16616039,-0.04646504,0.01682377
2026.07.07 11:00,-0.17924500,-0.03563520,0.37153246,0.34636577,-0.29000751,-0.11599639,-0.08716914,-0.00984498
