ts,USD,EUR,GBP,JPY,CHF,CAD,AUD,NZD
2026.03.18 00:00,0.46818201,-0.49451250,0.04768250,-0.29777080,-0.14997201,0.49432383,0.35094455,-0.41887757
2026.03.19 00:00,0.36720215,-0.41870655,0.13389048,-0.18781043,-0.23482738,0.33387914,0.34250220,-0.33612962
2026.03.20 00:00,0.39132347,-0.31776715,0.09892019,-0.20827373,-0.20084973,0.34144693,0.25062826,-0.35542825
2026.03.22 00:00,0.38988859,-0.26349028,0.10355780,-0.14613339,-0.19684556,0.31374083,0.16181532,-0.36253331
2026.03.23 00:00,0.31495932,-0.14604037,0.20609930,-0.08881150,-0.21238884,0.17583842,0.06164230,-0.31129861
2026.03.24 00:00,0.28542024,-0.03023281,0.25647294,-0.07171966,-0.23435108,0.05550950,0.02928870,-0.29038782
2026.03.25 00:00,0.30394379,0.06609002,0.28051429,-0.05304265,-0.25540959,-0.03004320,-0.04424489,-0.26780777
2026.03.26 00:00,0.30921854,0.18852479,0.30413782,-0.01388426,-0.22487928,-0.12247932,-0.15867534,-0.28196295
2026.03.27 00:00,0.36447751,0.28871949,0.28172738,-0.01087040,-0.28460603,-0.17357546,-0.19191473,-0.27395776
2026.03.30 00:00,0.41791609,0.31247270,0.21581957,0.08586765,-0.26623306,-0.20972812,-0.25032257,-0.30579224
2026.03.31 00:00,0.38063768,0.44152440,0.17596336,0.16569802,-0.33705357,-0.30366596,-0.24312175,-0.27998219
2026.04.01 00:00,0.34187240,0.50000265,0.20596212,0.17302663,-0.29051059,-0.34698466,-0.28080677,-0.30256178
2026.04.02 00:00,0.37594473,0.52694202,0.16271648,0.18459090,-0.27495569,-0.32745274,-0.30558183,-0.34220387
2026.04.03 00:00,0.40441291,0.52596275,0.14374511,0.23263210,-0.22625381,-0.31264397,-0.37060489,-0.39725019
2026.04.06 00:00,0.35463532,0.55467329,0.12786774,0.21407533,-0.20975308,-0.31131880,-0.36006906,-0.37011075
2026.04.07 00:00,0.27952938,0.59517701,0.12448096,0.17993085,-0.22679453,-0.32430734,-0.26517417,-0.36284216
2026.04.08 00:00,0.12906415,0.56396987,0.11761963,0.13963782,-0.20004810,-0.38385705,-0.14956861,-0.21681770
2026.04.09 00:00,0.04611932,0.56258042,0.12676960,0.04597056,-0.21141957,-0.37956768,-0.05036076,-0.14009190
2026.04.10 00:00,0.02920872,0.57162049,0.15821312,-0.01059083,-0.15934570,-0.39407008,-0.02829672,-0.16673900
2026.04.13 00:00,-0.03118774,0.53541314,0.15661914,-0.10694123,-0.08328928,-0.37310778,0.02993428,-0.12744052
2026.04.14 00:00,-0.13555045,0.49451656,0.16364218,-0.14512044,-0.04937957,-0.38809325,0.10923583,-0.04925087
2026.04.15 00:00,-0.22051782,0.43980733,0.13939460,-0.22983859,-0.04505466,-0.37017293,0.28489224,0.00148982
2026.04.16 00:00,-0.25112309,0.37960638,0.09818212,-0.28211362,-0.05640090,-0.27209329,0.38124218,0.00270021
2026.04.17 00:00,-0.32655123,0.30045708,0.08388067,-0.26474859,-0.03753949,-0.26236897,0.48582967,0.02104087
2026.04.20 00:00,-0.40672098,0.26768736,0.04940897,-0.33775519,0.03074602,-0.19375853,0.54784787,0.04254447
2026.04.21 00:00,-0.42023461,0.18134467,0.02161581,-0.39340653,0.05727762,-0.11941490,0.56734087,0.10547708
2026.04.22 00:00,-0.46590291,0.08794468,0.03567955,-0.42158044,0.02319792,-0.06889678,0.60732354,0.20223443
2026.04.23 00:00,-0.46121592,0.05207801,0.04781528,-0.42612917,0.04077416,-0.02239824,0.60570818,0.16336771
2026.04.24 00:00,-0.50552468,0.00432443,0.10361054,-0.45295136,0.03039162,0.00711539,0.59630881,0.21672524
2026.04.27 00:00,-0.51441316,-0.06114607,0.11231689,-0.48620537,-0.00056767,0.07843209,0.60484981,0.26673348
2026.04.28 00:00,-0.45223577,-0.07299755,0.13901693,-0.48286040,-0.06983155,0.08889437,0.59370730,0.25630667
2026.04.29 00:00,-0.35222378,-0.10612534,0.14388695,-0.47800382,-0.06202361,0.19157733,0.48453217,0.17838011
2026.04.30 00:00,-0.44131495,-0.23046355,0.12127917,-0.23638210,-0.05763259,0.18716815,0.44576088,0.21158499
2026.05.01 00:00,-0.41802219,-0.26603426,0.10451573,-0.17079345,-0.05237940,0.21792465,0.41146680,0.17332211
2026.05.04 00:00,-0.33997713,-0.29399222,0.07411764,-0.07196858,-0.05872148,0.24250388,0.33917185,0.10886604
2026.05.05 00:00,-0.27339197,-0.32946420,0.05746844,-0.03919488,-0.04434176,0.26762816,0.29735089,0.06394532
2026.05.06 00:00,-0.27524702,-0.36165834,0.00880922,0.09658586,-0.03375057,0.18558700,0.26986893,0.10980493
2026.05.07 00:00,-0.19648592,-0.35838508,-0.02464087,0.15870805,-0.03491012,0.17218053,0.21705231,0.06648109
2026.05.08 00:00,-0.21771555,-0.33584150,-0.00206163,0.20595862,-0.01507482,0.05831825,0.21502040,0.09139624
2026.05.11 00:00,-0.19845466,-0.31172598,-0.02444735,0.21136770,-0.03818572,0.01285148,0.22318642,0.12540811
